Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Bush - Speech101 - Edited.txt,1,1180,48.36,66.42,62.84,89.54,19.34,19.32,89.32,58.05,16.95,8.90,4.15,1.69,1.27,0.76,1.02,8.05,7.37,13.47,10.51,6.44,6.44,2.03,19.07,3.81,1.86,1.86,0.68,2.37,5.76,4.75,0.93,0.08,0.08,0.17,10.93,0.08,0.25,0.08,1.02,13.39,4.41,0.85,1.27,3.05,1.53,3.47,2.12,1.02,0.59,0.51,0.25,0.08,0.00,0.00,0.17,6.53,2.63,1.27,2.20,1.19,0.34,2.80,13.64,1.95,12.97,2.20,8.14,2.97,3.14,0.68,0.25,0.17,0.34,0.00,0.51,0.00,0.00,0.08,0.42,0.00,16.95,4.75,6.44,0.08,0.25,0.42,0.00,0.93,0.34,3.73,0.00,0.00
Bush - Speech5 - Edited.txt,1,3013,30.87,50.00,73.64,69.56,16.20,15.93,90.28,61.96,19.08,10.49,5.61,2.46,0.90,0.60,0.93,8.60,6.67,13.38,11.92,6.17,8.00,2.82,20.94,3.78,1.86,1.46,0.43,2.39,5.14,3.58,1.26,0.23,0.43,0.07,9.59,0.00,0.20,0.03,0.56,15.30,3.75,1.59,2.06,2.75,2.19,4.51,2.12,0.80,0.46,0.53,0.33,0.03,0.13,0.00,0.13,8.46,3.62,0.86,2.52,1.36,0.56,4.08,14.14,1.69,13.57,2.46,8.30,3.39,1.59,0.20,0.13,0.46,0.03,0.17,0.50,0.00,0.00,0.10,0.40,0.00,17.26,6.21,5.11,0.07,0.27,0.17,0.03,0.86,0.20,4.35,0.00,0.00
Bush - Speech2 - Edited.txt,1,1938,33.31,45.08,57.18,56.98,17.00,16.77,90.76,61.82,17.44,8.98,4.95,1.81,0.98,0.41,0.83,8.46,6.04,14.71,12.75,6.09,8.41,3.04,22.19,3.82,2.22,1.75,0.67,2.63,3.66,2.58,0.93,0.05,0.15,0.10,8.26,0.10,0.00,0.00,0.52,16.87,4.02,1.55,2.79,3.97,2.43,4.23,2.94,1.19,0.93,0.36,0.41,0.21,0.15,0.05,0.05,7.95,2.32,1.50,2.22,1.60,0.72,4.02,15.48,2.37,12.07,2.37,6.30,3.66,2.53,0.10,0.15,0.41,0.21,0.05,0.31,0.05,0.00,0.15,0.10,0.00,17.03,5.47,5.78,0.21,0.00,0.41,0.05,0.83,0.00,4.28,0.00,0.00
Bush - Speech114 - Edited.txt,1,1016,29.37,44.53,58.21,95.17,12.54,12.70,94.09,61.12,21.36,10.53,6.50,1.18,1.28,0.79,0.79,10.83,6.20,13.58,12.20,5.61,7.09,2.07,24.02,3.74,1.67,2.66,0.89,2.76,5.61,5.12,0.49,0.00,0.20,0.20,8.46,0.10,0.39,0.00,1.28,13.98,2.95,2.07,1.97,2.95,1.67,3.74,2.66,0.59,0.89,0.10,0.30,0.20,0.00,0.00,0.10,8.96,1.67,1.97,3.74,3.25,0.20,2.56,17.32,3.25,11.81,2.95,6.10,3.15,3.94,0.00,0.59,2.46,0.00,0.00,0.69,0.00,0.00,0.10,0.59,0.00,21.85,7.38,6.00,0.10,0.20,0.59,0.10,0.49,0.79,6.10,0.00,0.10
Bush - Speech49 - Edited.txt,1,2918,40.95,44.83,58.63,72.60,17.37,17.27,89.86,59.63,18.57,10.62,5.96,2.02,0.69,1.23,0.72,7.95,6.79,13.67,11.48,5.11,6.99,2.47,19.84,3.63,1.58,1.34,0.89,2.33,5.55,3.98,1.47,0.31,0.41,0.03,8.50,0.00,0.07,0.00,1.30,14.67,3.91,1.68,1.85,3.56,1.61,4.04,1.85,1.06,0.55,0.24,0.34,0.10,0.10,0.03,0.17,8.84,2.43,1.75,3.02,1.71,0.51,4.18,13.54,1.95,11.48,2.19,7.40,2.74,2.78,0.17,0.14,0.82,0.07,0.00,0.86,0.03,0.00,0.31,0.45,0.03,16.72,6.17,4.80,0.24,0.27,0.10,0.00,0.82,0.00,3.98,0.00,0.34
Bush - Speech113 - Edited.txt,1,876,40.83,77.44,27.80,79.78,16.53,18.38,89.84,58.90,19.75,10.96,3.31,2.85,0.23,3.77,0.80,8.79,5.82,13.47,11.19,5.59,5.48,1.48,17.81,3.88,1.71,1.03,0.91,2.97,5.02,4.00,1.03,0.23,0.23,0.11,12.44,0.00,0.23,0.00,3.88,11.19,2.85,0.68,1.60,2.05,1.60,3.20,2.17,0.34,1.03,0.68,1.03,0.34,0.11,0.00,0.57,8.56,4.11,1.03,2.28,1.26,0.46,4.11,11.99,1.37,13.47,1.83,8.79,3.08,3.31,0.00,0.34,1.03,0.00,0.00,0.34,0.00,0.00,0.11,0.23,0.00,14.16,6.28,4.91,0.00,0.23,0.11,0.00,0.46,0.00,2.17,0.00,0.00
Bush - Speech87 - Edited.txt,1,1585,37.79,58.72,48.38,70.85,14.54,16.97,90.60,61.07,18.80,9.84,5.11,2.97,0.88,0.44,0.44,8.96,7.26,13.50,11.86,5.87,7.70,1.83,19.56,4.42,2.46,1.64,0.50,2.90,5.62,3.97,1.58,0.32,0.50,0.06,8.90,0.00,0.00,0.00,0.76,14.13,3.66,1.20,2.33,4.23,1.01,3.60,1.26,0.57,0.44,0.25,0.50,0.38,0.00,0.00,0.00,10.09,3.66,2.59,3.09,1.01,0.69,2.97,14.13,2.08,11.17,2.08,6.50,2.78,3.34,0.25,0.13,0.50,0.57,0.13,1.01,0.00,0.06,0.38,0.57,0.00,17.67,6.50,5.24,0.00,0.13,0.44,0.00,1.58,0.00,3.79,0.00,0.00
Bush - Speech78 - Edited.txt,1,3154,30.66,66.69,36.29,61.85,15.02,15.66,89.70,60.91,18.99,10.81,4.19,2.79,1.14,0.98,1.71,8.18,6.53,12.90,13.28,5.52,6.94,2.73,22.57,3.55,1.71,1.46,0.79,2.12,5.39,3.61,1.71,0.35,0.51,0.10,11.29,0.10,0.03,0.16,1.11,14.97,3.71,1.30,3.30,3.30,1.40,3.99,1.65,0.76,0.60,0.19,0.44,0.10,0.29,0.03,0.03,9.83,3.61,1.24,2.47,1.71,1.40,3.84,15.25,2.89,11.29,1.68,6.91,2.82,1.24,0.00,0.22,0.13,0.10,0.25,0.73,0.00,0.10,0.19,0.41,0.00,19.02,6.47,4.85,0.10,0.32,0.48,0.00,1.90,0.13,4.72,0.00,0.06
Bush - Speech125 - Edited.txt,1,1974,45.75,77.79,38.51,82.14,16.73,19.50,90.98,59.27,19.00,9.37,3.50,3.80,0.71,0.96,0.41,9.63,6.94,13.78,10.44,5.88,6.59,1.27,19.50,2.79,1.42,1.27,0.96,2.84,5.27,4.20,1.06,0.00,0.15,0.35,10.84,0.20,0.00,0.00,1.17,12.97,3.85,0.71,1.77,3.80,1.37,2.94,1.52,0.46,0.91,0.15,0.56,0.25,0.15,0.00,0.10,12.01,5.02,1.77,3.75,2.08,0.51,3.44,14.08,2.13,11.70,2.89,6.89,2.94,3.24,0.25,0.51,0.91,0.05,0.05,0.76,0.00,0.00,0.35,0.41,0.00,15.50,5.83,4.76,0.05,0.15,0.20,0.00,0.81,0.61,3.09,0.00,0.00
Bush - Speech80 - Edited.txt,1,2970,23.33,52.69,77.10,80.64,14.35,14.11,91.62,61.21,21.55,12.73,6.43,2.86,0.91,1.48,1.04,8.82,5.45,13.20,11.21,6.09,8.25,2.69,22.05,3.67,2.05,1.45,1.21,1.72,4.92,3.94,0.91,0.13,0.20,0.30,11.25,0.24,0.10,0.20,1.41,14.21,3.54,1.48,2.22,3.03,1.01,5.19,2.39,0.84,0.84,0.67,0.91,0.20,0.40,0.00,0.27,9.53,3.87,1.21,2.86,2.32,0.44,4.65,15.22,1.65,14.01,2.96,7.85,3.97,2.53,0.74,0.40,0.98,0.10,0.00,0.88,0.03,0.03,0.24,0.47,0.03,21.68,6.60,6.36,0.10,0.17,0.37,0.00,1.99,0.40,5.39,0.00,0.30
