Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Reagan - Speech8 - Edited.txt,1,3486,50.93,69.21,53.62,59.45,20.75,18.30,90.10,59.98,17.47,8.92,3.16,2.67,0.89,0.63,1.58,8.55,6.77,14.95,10.36,5.77,6.66,2.09,18.36,3.33,1.95,1.66,1.26,2.52,3.67,2.73,0.95,0.03,0.20,0.09,10.33,0.23,0.11,0.09,0.72,13.17,2.98,1.66,1.75,3.47,1.41,3.61,1.52,0.23,1.06,0.17,0.52,0.20,0.17,0.00,0.14,8.78,3.56,1.12,2.81,1.03,0.72,4.22,11.19,1.75,14.17,2.21,7.83,4.42,3.67,0.14,0.23,1.95,0.11,0.00,0.86,0.00,0.00,0.34,0.52,0.00,14.40,4.65,5.65,0.03,0.09,0.20,0.00,0.40,0.23,2.87,0.00,0.29
Reagan - Speech30 - Edited.txt,1,2294,39.98,71.46,48.91,51.03,20.67,15.34,90.02,63.25,19.83,10.55,3.84,3.62,0.96,0.65,1.48,9.24,6.97,14.86,10.94,6.45,7.59,1.53,18.44,3.10,2.18,1.61,2.62,3.27,3.79,2.53,1.18,0.26,0.39,0.17,10.07,0.00,0.04,0.00,0.70,12.95,3.14,0.87,1.61,3.66,1.96,3.62,1.53,0.22,0.74,0.48,0.65,0.13,0.31,0.00,0.22,9.07,4.53,1.35,2.01,1.22,0.48,5.36,10.42,1.53,12.51,2.22,6.06,4.32,1.61,0.22,0.09,0.74,0.04,0.00,0.87,0.00,0.04,0.22,0.61,0.00,14.73,4.97,6.71,0.00,0.04,0.04,0.00,0.22,0.26,2.22,0.00,0.26
Reagan - Speech37 - Edited.txt,1,3204,34.83,73.17,44.04,37.94,19.19,15.70,90.64,63.98,19.66,10.17,3.03,3.96,0.62,0.47,2.09,9.49,6.65,14.83,12.20,5.71,7.99,2.31,20.35,3.81,2.47,1.65,1.09,2.56,3.56,2.00,1.31,0.16,0.69,0.00,10.64,0.00,0.12,0.03,0.56,14.08,3.40,1.97,2.12,3.06,1.75,3.71,1.81,0.62,0.91,0.16,1.00,0.28,0.25,0.00,0.47,8.83,4.56,1.12,1.97,1.22,0.62,5.27,12.89,1.31,12.55,2.40,6.09,4.43,2.00,0.16,0.22,0.41,0.03,0.03,0.97,0.00,0.06,0.44,0.47,0.00,15.14,4.78,5.52,0.06,0.12,0.47,0.00,0.44,0.19,3.43,0.00,0.12
Reagan - Speech22 - Edited.txt,1,4108,51.50,74.62,45.37,32.02,21.18,17.84,90.43,61.30,16.92,9.10,2.87,3.38,0.46,0.54,1.85,7.79,8.01,14.70,11.15,5.33,7.84,1.90,19.86,3.60,2.43,1.66,1.73,2.22,4.38,2.31,1.95,0.34,0.78,0.22,10.13,0.17,0.02,0.05,0.63,11.98,2.65,2.14,2.07,2.17,1.44,2.58,1.46,0.58,0.73,0.10,0.27,0.07,0.12,0.00,0.07,10.49,4.07,1.78,3.24,1.10,0.93,5.74,11.12,1.48,14.80,2.73,8.03,4.43,2.48,0.22,0.34,1.36,0.07,0.39,0.58,0.00,0.02,0.17,0.39,0.00,14.31,4.58,5.99,0.02,0.19,0.22,0.00,0.41,0.05,2.73,0.00,0.12
Reagan - Speech25 - Edited.txt,1,2984,41.40,69.84,39.93,56.13,16.49,15.25,91.76,62.06,19.20,9.92,3.82,3.05,0.90,0.20,1.94,9.28,6.77,14.51,11.63,5.36,6.74,2.35,19.03,4.05,2.65,1.21,1.47,2.65,4.12,2.78,1.17,0.20,0.44,0.23,11.36,0.03,0.10,0.07,0.20,14.51,2.58,1.51,2.75,3.69,2.01,3.95,1.51,0.44,0.80,0.13,0.64,0.30,0.10,0.07,0.17,8.91,3.92,1.24,2.71,1.21,0.44,4.96,12.16,1.44,12.06,2.11,6.74,3.35,3.82,0.27,0.20,0.97,0.07,0.03,1.07,0.00,0.00,0.50,0.57,0.00,15.99,5.60,6.13,0.00,0.10,0.54,0.00,0.34,0.13,3.05,0.00,0.10
Reagan - Speech13 - Edited.txt,1,3615,51.05,65.70,62.63,51.66,22.74,16.18,89.88,60.11,16.29,7.80,2.93,2.46,0.72,0.19,1.49,8.49,7.39,14.85,11.48,5.84,7.19,2.02,19.61,3.93,2.63,1.77,2.41,2.77,3.24,2.30,0.91,0.03,0.33,0.14,8.93,0.03,0.06,0.08,0.22,11.84,3.18,1.60,1.41,2.54,1.55,3.13,1.96,0.75,0.91,0.25,0.33,0.06,0.19,0.00,0.08,8.22,3.15,1.41,2.60,1.11,0.39,5.12,12.25,2.02,15.30,2.57,7.47,5.45,3.10,0.25,0.22,1.55,0.06,0.11,0.64,0.00,0.03,0.19,0.41,0.00,15.55,4.18,6.50,0.03,0.17,0.25,0.00,0.69,0.11,3.04,0.00,0.58
Reagan - Speech46 - Edited.txt,1,3110,39.80,78.37,38.17,47.15,21.45,16.17,91.61,62.99,19.29,9.97,2.80,3.09,0.80,1.77,1.51,9.32,6.88,14.44,11.29,6.50,7.20,1.61,19.13,3.44,2.28,1.51,2.03,2.15,3.99,2.51,1.35,0.06,0.48,0.10,11.58,0.03,0.00,0.03,1.96,11.16,2.41,1.38,1.80,2.44,1.61,3.22,1.58,0.35,0.93,0.23,0.29,0.19,0.10,0.00,0.00,9.87,4.08,1.38,3.18,1.16,0.58,5.21,12.64,1.19,14.34,2.38,7.01,5.11,3.34,0.26,0.26,1.70,0.23,0.10,0.93,0.00,0.10,0.26,0.58,0.00,14.34,4.69,5.53,0.06,0.16,0.13,0.00,0.51,0.45,2.57,0.00,0.23
Reagan - Speech14 - Edited.txt,1,3591,48.91,68.59,52.21,53.52,19.62,15.76,91.76,61.43,17.52,7.99,2.62,3.65,0.75,0.17,0.81,9.52,7.55,14.70,11.39,5.37,7.18,2.12,19.77,3.56,2.20,1.59,1.81,2.34,3.76,2.62,1.14,0.33,0.31,0.06,9.11,0.00,0.06,0.03,0.22,13.73,2.95,2.14,2.37,2.78,1.34,3.93,1.73,0.58,0.78,0.22,0.31,0.11,0.17,0.00,0.03,10.69,4.54,2.53,2.37,1.34,0.75,3.31,13.78,1.78,14.37,2.26,7.55,5.04,3.95,0.14,0.36,1.50,0.11,0.11,0.75,0.00,0.00,0.25,0.50,0.00,14.06,4.79,5.29,0.03,0.14,0.36,0.00,0.33,0.00,2.98,0.00,0.14
Reagan - Speech41 - Edited.txt,1,2534,35.15,72.17,37.08,53.20,20.94,16.46,90.13,62.12,18.63,10.30,3.12,3.55,0.83,1.18,1.62,8.33,6.24,13.93,11.48,5.80,8.17,2.37,19.69,3.95,2.25,1.46,1.62,3.16,4.26,2.84,1.38,0.16,0.63,0.08,11.29,0.00,0.12,0.08,1.26,15.94,3.20,2.41,2.09,3.47,2.37,4.30,1.26,0.20,0.83,0.20,0.47,0.28,0.12,0.00,0.08,8.37,4.18,1.34,1.82,1.10,0.36,6.04,10.58,1.42,11.68,2.09,5.92,3.91,2.17,0.28,0.12,1.30,0.00,0.28,0.47,0.00,0.08,0.04,0.36,0.00,14.40,4.42,5.49,0.12,0.08,0.43,0.00,0.36,0.63,2.60,0.00,0.28
Reagan - Speech9 - Edited.txt,1,3326,54.68,79.58,35.25,38.03,21.46,17.71,89.63,60.07,17.47,8.84,2.71,3.55,0.66,0.33,1.59,8.63,7.46,14.79,11.24,5.26,6.37,1.20,19.27,3.97,2.47,1.53,3.19,2.74,4.54,2.56,1.86,0.21,0.51,0.33,10.49,0.12,0.12,0.36,0.09,10.64,2.19,1.11,1.77,2.80,1.56,2.53,1.83,0.72,0.72,0.27,0.63,0.18,0.21,0.00,0.24,10.46,4.48,1.26,3.07,1.08,1.02,4.12,12.06,1.62,13.41,1.86,7.82,4.03,3.55,0.30,0.27,2.83,0.09,0.24,0.63,0.00,0.00,0.27,0.36,0.00,14.73,4.42,5.47,0.00,0.12,0.27,0.00,0.51,0.12,3.43,0.00,0.39
Reagan - Speech35 - Edited.txt,1,3606,21.08,77.88,48.66,29.00,18.03,14.45,91.32,64.39,21.85,11.59,3.41,4.44,1.00,1.58,1.16,10.26,5.27,13.34,11.37,6.79,8.43,2.36,19.86,3.33,2.16,1.75,1.30,2.14,3.83,1.97,1.77,0.47,0.80,0.14,12.09,0.03,0.03,0.03,1.64,14.53,3.08,1.58,1.97,3.77,1.83,4.08,2.05,0.44,1.00,0.28,0.53,0.31,0.19,0.00,0.03,9.71,5.07,1.36,2.25,1.14,0.50,4.27,13.06,1.69,13.78,2.02,7.07,5.02,2.05,0.17,0.06,0.89,0.11,0.11,0.72,0.00,0.06,0.11,0.55,0.00,16.11,5.32,6.41,0.06,0.06,0.31,0.00,0.17,0.11,3.49,0.00,0.19
Reagan - Speech32 - Edited.txt,1,3576,40.39,78.65,44.27,24.88,21.16,16.28,91.75,62.61,20.16,10.12,2.77,4.56,0.78,0.42,1.59,10.04,6.77,14.96,11.38,5.29,7.13,2.13,18.90,4.59,2.63,1.40,1.87,2.82,5.73,2.74,2.80,0.36,1.54,0.31,11.38,0.06,0.11,0.03,0.42,13.79,3.02,1.45,2.21,3.22,1.90,3.89,1.59,0.67,0.70,0.25,0.56,0.20,0.31,0.06,0.00,11.16,5.51,1.45,2.74,1.45,0.92,4.11,13.06,1.51,13.09,1.43,8.33,3.44,2.66,0.14,0.08,1.20,0.00,0.31,0.59,0.00,0.00,0.11,0.48,0.00,15.41,4.47,5.62,0.00,0.22,0.25,0.00,0.28,0.45,4.00,0.00,0.11
Reagan - Speech27 - Edited.txt,1,3589,42.72,72.07,50.61,34.99,19.30,15.58,91.84,62.36,18.22,9.53,3.23,3.71,0.70,0.50,1.39,8.69,6.55,15.27,11.15,6.19,7.41,2.37,19.25,4.18,2.34,1.92,1.31,2.76,4.29,2.37,1.84,0.08,1.09,0.17,10.62,0.00,0.08,0.03,0.53,12.90,2.42,1.73,1.81,3.12,1.56,3.57,1.76,0.45,0.72,0.42,0.36,0.14,0.14,0.00,0.08,10.03,4.43,1.39,2.87,1.03,0.81,4.60,12.04,1.95,14.18,2.31,7.94,4.35,3.20,0.17,0.08,1.73,0.08,0.14,0.81,0.00,0.00,0.22,0.56,0.03,15.30,4.79,6.16,0.03,0.03,0.39,0.00,0.39,0.28,3.23,0.00,0.00
Reagan - Speech20 - Edited.txt,1,3311,46.69,69.51,53.16,47.56,20.44,17.61,89.73,61.07,17.64,9.30,3.32,2.84,0.82,0.69,1.63,8.34,7.10,14.77,11.36,5.44,7.79,1.75,19.87,3.62,2.30,1.75,1.15,2.39,4.47,2.81,1.63,0.03,0.63,0.18,9.73,0.03,0.06,0.00,0.82,12.84,3.23,1.48,1.75,3.65,1.33,3.20,1.42,0.45,0.60,0.33,0.39,0.09,0.24,0.00,0.06,9.06,3.29,1.90,2.81,1.00,0.79,4.50,12.78,1.78,14.16,1.90,7.52,4.92,2.20,0.42,0.21,0.57,0.12,0.27,0.54,0.00,0.00,0.12,0.42,0.00,14.50,4.41,5.68,0.03,0.12,0.48,0.00,0.48,0.00,3.20,0.00,0.09
Reagan - Speech43 - Edited.txt,1,2844,30.67,73.43,40.22,39.61,21.55,16.56,91.46,64.35,19.06,9.81,3.20,3.76,0.91,0.42,1.51,9.25,6.36,14.06,12.69,5.91,8.51,2.29,20.29,3.45,2.07,1.83,1.20,2.14,4.22,2.46,1.69,0.28,0.39,0.14,10.94,0.00,0.04,0.00,0.53,14.80,3.52,1.72,2.07,3.20,2.04,3.87,1.37,0.32,0.81,0.25,0.25,0.18,0.11,0.00,0.00,10.20,4.29,1.83,3.16,1.30,0.67,5.45,12.27,1.48,11.43,1.69,6.12,3.66,2.88,0.14,0.04,0.98,0.00,0.07,0.74,0.00,0.04,0.28,0.42,0.00,14.10,4.40,5.91,0.14,0.11,0.32,0.00,0.35,0.00,2.64,0.00,0.25
Reagan - Speech16 - Edited.txt,1,3423,39.95,67.56,35.58,58.38,21.39,16.74,89.80,62.49,18.35,9.41,3.45,2.69,0.64,0.88,1.75,8.91,5.99,15.31,12.27,5.81,7.10,2.28,19.95,3.07,1.87,1.90,1.93,2.28,3.83,2.72,0.99,0.26,0.26,0.09,10.14,0.00,0.15,0.09,0.88,12.36,2.48,1.99,2.16,3.01,1.26,3.18,1.34,0.41,0.73,0.15,0.53,0.15,0.32,0.00,0.06,10.37,3.74,1.61,4.00,1.49,0.44,4.12,13.26,1.75,12.71,1.87,7.33,3.65,3.21,0.32,0.18,1.17,0.09,0.00,0.70,0.00,0.00,0.06,0.64,0.00,14.96,4.18,6.02,0.00,0.12,0.50,0.00,0.29,0.18,3.33,0.00,0.35
Reagan - Speech44 - Edited.txt,1,2806,37.31,70.49,38.48,60.91,19.90,16.89,91.23,62.79,19.81,11.08,4.63,2.92,0.78,1.18,1.57,8.73,7.20,13.22,11.08,5.35,7.59,2.07,19.57,3.60,1.82,1.50,1.18,1.82,4.31,2.99,1.14,0.07,0.61,0.14,11.44,0.46,0.11,0.68,1.07,14.11,3.64,2.17,2.78,3.21,1.14,3.06,2.00,0.53,1.00,0.43,0.36,0.11,0.18,0.04,0.07,8.77,3.74,1.75,2.35,1.75,0.18,4.81,12.15,1.43,11.87,1.89,6.52,3.74,2.67,0.14,0.00,0.14,0.21,0.11,0.78,0.00,0.00,0.11,0.68,0.00,13.15,4.92,5.49,0.21,0.07,0.18,0.00,0.39,0.14,1.75,0.00,0.00
Reagan - Speech11 - Edited.txt,1,3847,49.25,65.95,39.75,43.80,21.14,17.49,89.24,61.40,17.36,8.97,3.69,2.70,0.39,0.60,1.59,8.40,7.36,14.69,11.15,5.33,7.38,2.03,17.83,3.25,1.92,1.74,1.64,2.57,3.64,2.26,1.27,0.10,0.36,0.42,9.85,0.10,0.03,0.08,0.68,13.05,3.02,1.66,2.13,3.98,1.33,3.12,1.66,0.47,0.78,0.36,0.21,0.05,0.05,0.03,0.08,8.97,3.72,1.51,2.76,1.25,0.49,5.54,10.42,1.25,12.35,1.56,6.81,4.21,3.48,0.18,0.10,0.65,0.08,0.05,0.47,0.00,0.05,0.18,0.29,0.00,12.69,4.68,4.89,0.05,0.13,0.08,0.00,0.39,0.18,2.24,0.00,0.05
Reagan - Speech21 - Edited.txt,1,3757,39.50,69.35,44.19,38.04,19.57,16.69,90.10,62.52,17.97,9.29,3.38,2.42,0.90,0.72,1.86,8.68,6.87,14.35,12.19,6.31,7.61,1.81,19.75,3.41,2.13,1.65,0.72,2.42,4.37,2.48,1.78,0.32,0.88,0.27,10.30,0.03,0.05,0.08,0.83,13.60,2.45,2.45,1.52,3.91,1.57,3.38,1.25,0.29,0.67,0.19,0.32,0.05,0.24,0.00,0.03,9.98,3.19,1.78,3.83,1.28,0.51,5.59,11.74,1.57,13.15,1.84,7.59,3.94,2.48,0.13,0.16,0.24,0.19,0.24,0.80,0.00,0.00,0.37,0.43,0.00,14.85,4.71,5.88,0.05,0.19,0.40,0.00,0.32,0.16,3.09,0.00,0.05
Reagan - Speech26 - Edited.txt,1,3307,49.38,68.13,42.31,45.78,21.20,16.81,89.84,60.75,17.99,9.40,3.54,2.75,0.60,1.00,1.51,8.59,7.17,14.73,11.46,5.11,6.71,1.78,19.66,3.18,2.00,1.51,2.12,2.42,3.48,2.27,1.18,0.15,0.36,0.09,10.07,0.00,0.03,0.54,0.64,12.19,2.90,1.54,1.63,3.11,1.81,3.36,1.54,0.60,0.76,0.12,0.57,0.21,0.21,0.00,0.15,9.74,3.57,1.54,3.60,1.27,0.54,4.81,12.43,1.39,12.67,2.12,6.80,3.93,3.66,0.33,0.15,2.06,0.06,0.09,0.82,0.03,0.03,0.24,0.51,0.00,14.64,4.69,5.78,0.03,0.18,0.21,0.00,0.67,0.12,2.87,0.00,0.09
Reagan - Speech33 - Edited.txt,1,3348,30.99,71.38,47.20,59.12,19.24,15.92,91.43,63.41,19.56,10.72,3.08,3.08,1.22,1.22,2.12,8.84,6.63,13.68,11.95,6.18,7.92,2.60,20.61,3.08,2.06,1.46,1.61,2.51,4.57,3.14,1.37,0.48,0.48,0.06,11.56,0.00,0.15,0.18,1.14,14.40,2.93,1.70,1.82,3.20,1.94,4.54,1.52,0.63,0.54,0.33,0.42,0.09,0.33,0.00,0.00,9.11,3.61,1.46,2.39,1.52,0.57,5.35,12.34,1.46,13.08,2.54,6.87,3.97,2.87,0.24,0.03,1.55,0.18,0.27,0.72,0.00,0.00,0.21,0.51,0.00,15.80,4.87,5.97,0.03,0.27,0.36,0.00,0.24,0.00,3.70,0.00,0.36
Reagan - Speech34 - Edited.txt,1,3460,31.67,74.51,40.56,62.49,18.91,15.14,90.61,62.89,19.51,10.78,3.50,3.44,1.24,0.55,2.05,8.73,6.91,13.24,11.76,5.90,7.86,2.75,19.45,3.38,2.23,1.73,1.10,2.72,3.01,2.46,0.52,0.03,0.23,0.17,12.14,0.09,0.20,0.03,0.66,13.24,2.66,1.71,1.94,3.06,1.59,3.99,1.85,0.84,0.72,0.26,0.52,0.29,0.26,0.03,0.06,9.13,4.28,1.10,2.77,1.13,0.26,5.12,12.17,1.47,11.91,1.56,6.62,3.82,3.79,0.29,0.17,0.92,0.09,0.00,0.81,0.00,0.00,0.14,0.66,0.00,15.92,5.12,6.01,0.00,0.17,0.23,0.00,0.32,0.35,3.61,0.00,0.12
Reagan - Speech10 - Edited.txt,1,3958,49.65,62.49,58.14,48.76,21.17,15.84,91.71,61.57,17.99,8.14,3.54,1.54,1.11,0.23,1.72,9.85,8.11,14.10,11.50,5.94,6.11,1.74,19.28,2.65,1.54,1.26,1.77,2.35,3.61,2.40,1.16,0.08,0.40,0.18,8.44,0.10,0.10,0.00,0.23,11.70,3.21,1.77,1.67,2.83,1.34,2.63,1.59,0.58,0.61,0.23,0.66,0.25,0.33,0.00,0.08,7.83,2.48,1.52,2.43,1.01,0.86,4.72,12.81,1.59,14.75,2.43,6.85,5.94,4.04,0.20,0.28,2.27,0.18,0.08,0.66,0.00,0.00,0.15,0.51,0.00,14.15,4.52,5.71,0.03,0.10,0.23,0.00,0.38,0.15,2.88,0.00,0.15
Reagan - Speech45 - Edited.txt,1,3239,29.18,71.30,48.52,48.08,20.76,13.62,91.63,64.28,19.51,10.84,4.04,3.24,1.14,0.83,1.57,8.68,5.84,14.51,12.20,6.61,8.12,2.53,20.69,3.21,2.19,1.79,1.05,2.90,3.40,2.28,1.08,0.34,0.19,0.15,11.18,0.09,0.09,0.06,0.96,14.48,3.52,1.27,2.13,3.55,2.22,3.37,1.64,0.56,0.77,0.31,0.62,0.22,0.34,0.00,0.06,8.31,3.77,0.68,2.50,1.14,0.49,5.09,12.63,1.67,12.81,2.13,6.95,4.20,2.78,0.22,0.25,1.51,0.12,0.12,0.86,0.00,0.00,0.12,0.65,0.03,15.41,4.72,6.02,0.06,0.15,0.06,0.03,0.19,0.31,3.67,0.00,0.19
Reagan - Speech17 - Edited.txt,1,3413,54.50,74.62,41.37,45.13,19.50,17.05,88.92,60.45,16.82,8.35,2.23,2.96,0.94,0.26,1.96,8.47,7.47,15.21,11.05,5.30,7.30,1.58,18.34,3.08,2.08,1.82,1.93,2.72,3.05,2.05,1.00,0.06,0.32,0.23,9.49,0.09,0.09,0.00,0.38,12.57,2.87,1.96,1.49,2.87,1.70,2.96,1.41,0.59,0.50,0.12,0.29,0.09,0.15,0.00,0.06,9.49,3.75,1.08,3.96,1.05,0.29,4.81,11.57,1.26,13.39,1.99,7.62,3.96,4.48,0.15,0.18,1.85,0.06,0.00,0.73,0.00,0.00,0.23,0.50,0.00,16.00,4.72,6.59,0.12,0.06,0.41,0.00,0.56,0.23,2.99,0.00,0.32
Reagan - Speech42 - Edited.txt,1,3589,42.26,70.28,48.20,36.02,20.75,15.60,91.67,63.42,19.39,10.14,3.48,3.32,0.64,0.75,1.95,9.22,7.38,15.16,12.15,5.29,7.61,1.78,20.14,4.15,2.76,1.84,2.06,2.51,3.26,1.92,1.34,0.20,0.59,0.06,10.03,0.00,0.11,0.03,0.86,12.34,2.70,1.53,2.06,2.67,1.84,3.40,1.39,0.39,0.78,0.20,0.25,0.17,0.08,0.06,0.00,9.22,4.01,1.25,3.04,1.06,0.50,4.24,13.04,1.67,13.96,2.70,6.97,4.46,3.62,0.20,0.08,2.79,0.08,0.25,0.84,0.00,0.06,0.22,0.59,0.00,14.43,4.71,5.38,0.08,0.08,0.17,0.00,0.36,0.00,3.23,0.00,0.42
Reagan - Speech7 - Edited.txt,1,3704,37.51,67.48,43.05,44.56,20.35,16.66,90.96,63.26,18.95,9.34,3.56,3.16,0.78,0.81,1.03,9.61,7.24,13.93,13.50,4.78,7.24,2.11,20.95,3.86,2.24,1.59,1.30,2.29,3.81,2.38,1.35,0.13,0.32,0.19,9.67,0.05,0.05,0.11,0.76,12.96,3.35,1.89,2.00,2.75,1.43,3.40,1.08,0.43,0.54,0.08,0.70,0.11,0.46,0.13,0.11,9.69,3.81,1.32,3.27,0.84,0.94,5.51,13.04,2.24,12.45,1.89,6.34,4.45,3.86,0.03,0.03,1.08,0.08,0.13,0.57,0.00,0.00,0.08,0.49,0.00,14.23,4.75,5.40,0.03,0.16,0.16,0.00,0.30,0.11,3.21,0.00,0.11
Reagan - Speech39 - Edited.txt,1,3277,32.72,74.91,38.35,34.79,19.28,16.02,91.00,64.14,19.38,10.16,3.27,3.78,0.52,0.43,2.17,9.22,7.02,14.01,11.96,5.95,8.27,2.69,19.74,3.51,2.38,1.19,1.01,1.92,3.97,2.23,1.71,0.46,0.58,0.21,12.02,0.09,0.18,0.00,0.52,13.61,3.23,1.56,1.80,3.17,1.83,3.66,1.92,0.61,1.13,0.18,0.58,0.46,0.12,0.00,0.03,9.40,4.46,1.56,2.69,1.07,0.49,6.93,10.62,1.04,11.29,1.59,6.19,3.60,2.29,0.34,0.27,0.58,0.03,0.00,0.70,0.00,0.00,0.15,0.55,0.00,14.74,4.94,6.59,0.06,0.03,0.31,0.00,0.31,0.24,2.20,0.00,0.06
Reagan - Speech6 - Edited.txt,1,3710,41.42,67.07,56.77,38.73,22.22,16.93,90.16,62.26,18.84,9.49,3.56,3.02,1.56,0.22,1.13,9.35,7.60,13.42,11.54,5.12,7.20,2.32,17.79,2.75,1.43,1.86,1.73,2.51,3.34,2.02,1.29,0.22,0.16,0.11,9.38,0.03,0.11,0.11,0.22,14.37,3.56,2.29,1.40,3.56,1.59,3.67,1.24,0.19,0.65,0.24,0.13,0.08,0.05,0.00,0.00,8.95,3.50,1.83,2.80,1.24,0.59,4.56,11.21,1.67,12.86,2.37,6.74,4.31,3.67,0.03,0.08,1.62,0.08,0.11,0.59,0.00,0.03,0.13,0.43,0.00,13.72,4.45,5.98,0.08,0.16,0.13,0.00,0.24,0.16,2.43,0.00,0.08
Reagan - Speech1 - Edited.txt,1,2685,48.88,69.91,50.78,51.56,20.65,17.17,90.32,61.04,17.39,8.86,3.24,2.91,1.04,0.07,1.60,8.53,6.74,15.49,11.62,5.40,7.19,1.97,19.22,3.58,2.09,1.45,1.42,2.53,3.58,2.42,1.04,0.04,0.45,0.07,9.61,0.00,0.11,0.07,0.15,13.22,3.50,1.60,2.16,2.64,1.71,3.13,1.56,0.56,0.52,0.34,0.48,0.30,0.04,0.00,0.15,9.35,3.84,1.71,3.09,1.01,0.45,4.39,12.70,1.53,13.48,2.09,7.52,4.32,3.65,0.07,0.19,0.56,0.19,0.04,0.74,0.00,0.04,0.22,0.48,0.00,15.83,4.80,7.19,0.04,0.15,0.11,0.00,0.34,0.15,2.83,0.00,0.22
Reagan - Speech38 - Edited.txt,1,3931,39.08,72.07,30.77,38.92,21.96,16.20,90.92,63.01,18.27,9.51,2.93,2.52,0.76,1.14,2.16,8.75,6.61,14.60,11.73,5.67,8.04,2.34,19.82,2.90,1.63,1.76,1.12,2.65,3.69,2.21,1.48,0.31,0.41,0.15,11.88,0.10,0.10,0.00,1.22,12.97,2.31,1.37,2.54,3.28,1.22,4.02,2.06,0.43,1.07,0.38,0.53,0.15,0.33,0.00,0.05,9.72,4.35,1.42,3.21,1.27,0.46,5.16,11.52,1.48,12.41,2.14,7.15,3.61,2.93,0.25,0.18,0.84,0.31,0.10,0.92,0.03,0.00,0.25,0.64,0.00,14.37,4.45,6.16,0.13,0.08,0.13,0.00,0.33,0.05,2.95,0.00,0.10
